City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Kailua,US,2020-06-19 02:56:13,21.4,-157.74,93.2,44,90,12.75
233,Palmer,US,2020-06-19 02:56:13,42.16,-72.33,73.4,78,40,4.7
234,Royan,FR,2020-06-19 02:56:13,45.63,-1.03,60.8,82,90,4.7
235,Kut Chap,TH,2020-06-19 02:56:14,17.43,102.57,80.6,78,75,3.36
236,Sampit,ID,2020-06-19 02:55:18,-2.53,112.95,86.85,64,98,4.34
237,Tucuman,AR,2020-06-19 02:56:14,-26.82,-65.22,48.2,76,95,8.05
238,Chapada Dos Guimaraes,BR,2020-06-19 02:56:14,-15.46,-55.75,75.2,64,99,2.24
239,Liaozhong,CN,2020-06-19 02:56:15,41.51,122.72,84.2,37,0,4.47
240,Ponta Do Sol,PT,2020-06-19 02:56:15,32.67,-17.1,69.8,73,20,9.17
241,Zelenogorskiy,RU,2020-06-19 02:56:15,55.03,87.0,59.0,87,20,11.18
242,Ozark,US,2020-06-19 02:53:41,37.02,-93.21,73.99,70,86,6.26
243,Xingyi,CN,2020-06-19 02:56:16,24.19,102.82,71.67,82,86,5.79
244,Salinas,US,2020-06-19 02:56:16,36.68,-121.66,69.8,72,1,12.75
245,Tilichiki,RU,2020-06-19 02:56:04,60.47,166.1,55.29,84,100,6.15
246,Ancud,CL,2020-06-19 02:52:55,-41.87,-73.82,48.0,87,75,9.17
247,Broome,US,2020-06-19 02:56:17,42.25,-75.83,66.0,100,1,3.36
248,Clocolan,ZA,2020-06-19 02:56:17,-28.91,27.57,31.48,96,0,2.3
249,Mayumba,GA,2020-06-19 02:56:17,-3.43,10.66,71.1,90,64,2.44
250,Bowen,AU,2020-06-19 02:56:18,-20.02,148.23,78.01,64,47,21.92
251,Nouadhibou,MR,2020-06-19 02:56:18,20.93,-17.03,71.6,78,0,19.46
252,Namatanai,PG,2020-06-19 02:56:18,-3.67,152.43,84.7,72,22,1.95
253,Urumqi,CN,2020-06-19 02:55:29,43.8,87.6,73.4,38,1,11.18
254,Caravelas,BR,2020-06-19 02:56:19,-17.71,-39.25,72.68,89,42,8.75
255,Fomboni,KM,2020-06-19 02:56:19,-12.28,43.74,78.4,73,1,24.11
256,Sangmelima,CM,2020-06-19 02:56:20,2.93,11.98,66.67,99,99,3.49
257,Ghelinta,RO,2020-06-19 02:56:20,45.95,26.23,61.0,93,48,1.81
258,Yining,CN,2020-06-19 02:56:20,29.04,114.56,71.17,93,100,2.06
259,Saint-Augustin,CA,2020-06-19 02:56:20,51.23,-58.65,56.12,92,100,7.96
260,Tiarei,PF,2020-06-19 02:56:21,-17.53,-149.33,82.4,74,75,5.82
261,Palpa,PE,2020-06-19 02:56:21,-14.53,-75.19,60.53,78,3,0.87
262,San Bartolome De Tirajana,ES,2020-06-19 02:56:21,27.92,-15.57,69.8,88,40,12.75
263,Umm Kaddadah,SD,2020-06-19 02:56:22,13.6,26.69,82.71,52,78,11.39
