City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
307,Lensk,RU,60.73,114.93,79.5,37,66,7.96,broken clouds,0.0,0.0
308,Adrar,MR,20.5,-10.07,91.15,20,36,12.01,scattered clouds,0.0,0.0
309,Karamsad,IN,22.55,72.9,93.2,59,40,6.93,scattered clouds,0.0,0.0
310,Maun,BW,-19.98,23.42,50.0,87,54,5.82,broken clouds,0.0,0.0
311,Bukachacha,RU,52.98,116.92,72.48,27,20,5.17,few clouds,0.0,0.0
312,Garowe,SO,8.41,48.48,84.0,46,54,29.68,broken clouds,0.0,0.0
313,Mwense,ZM,-10.38,28.7,60.67,67,39,4.94,scattered clouds,0.0,0.0
314,Najran,SA,17.49,44.13,95.0,17,76,4.7,broken clouds,0.0,0.0
315,Kimry,RU,56.87,37.35,68.34,82,42,8.86,scattered clouds,0.0,0.0
316,Sawakin,SD,19.11,37.33,88.59,41,92,5.26,overcast clouds,0.0,0.0
317,Saint-Pierre,RE,-21.34,55.48,75.2,57,34,20.8,scattered clouds,0.0,0.0
318,Tauranga,NZ,-37.69,176.17,59.0,93,75,7.0,broken clouds,0.0,0.0
319,Sorgues,FR,44.01,4.87,68.0,59,20,18.34,few clouds,0.0,0.0
320,Faanui,PF,-16.48,-151.75,80.35,75,30,4.07,scattered clouds,0.0,0.0
321,Ovsyanka,RU,55.96,92.55,53.6,93,75,4.47,broken clouds,0.0,0.0
322,San Francisco,US,37.77,-122.42,59.0,87,20,10.29,few clouds,0.0,0.0
323,Turukhansk,RU,65.82,87.98,57.74,67,100,17.05,overcast clouds,0.0,0.0
324,Creel,MX,27.75,-107.63,53.73,77,20,2.06,few clouds,0.0,0.0
325,Luderitz,NA,-26.65,15.16,71.6,26,0,13.87,clear sky,0.0,0.0
326,San Roque,ES,36.21,-5.38,64.4,88,20,4.7,few clouds,0.0,0.0
327,Bakchar,RU,57.02,82.07,62.28,45,39,2.33,scattered clouds,0.0,0.0
